"lang_key","lang_value","notes"
"lang_about_us","About Us","This keyword is for about us page in navbar"
"lang_account_settings","Account Settings",""
"lang_actions","Actions",""
"lang_add_your_photo","Add your photo",""
"lang_address","Address",""
"lang_after","After",""
"lang_all","All","All text in table for needs and offers pages"
"lang_all_need","All Needs",""
"lang_all_offers","All Offers",""
"lang_asap","ASAP",""
"lang_auth_code","Auth Code",""
"lang_auth_code_does_not_match","Auth Code does not match",""
"lang_barter","Barter",""
"lang_but_you_can_create_an_account_simply_by_clicking_the_button_below","But you can create an account simply, by clicking the button below",""
"lang_change_password","Change password",""
"lang_change_photo","Change photo",""
"lang_change_user_password","Change User Password",""
"lang_charging","Charging",""
"lang_chat","Chat",""
"lang_check_to_sort_column_descending","Check to sort column descending",""
"lang_check_to_sort_the_column_in_ascending_order","Check to sort the column in ascending order",""
"lang_city","City",""
"lang_click_or_drag_to_upload","Click or drag to upload",""
"lang_close","Close",""
"lang_confirm_new_password","Confirm new password",""
"lang_confirmation_password","Confirmation password",""
"lang_contact_name","Contact Name",""
"lang_contact_owner","Contact Owner",""
"lang_continent","Continent",""
"lang_cost","Cost",""
"lang_country","Country",""
"lang_County","County",""
"lang_create_offer_right_away_popup_text","Create a new offer right away, just click the button below and fill out the details!",""
"lang_date_created","Date Created",""
"lang_delivery_details","Delivery Details",""
"lang_description","Description",""
"lang_description_about_something_i_need","Description about something I need",""
"lang_description_about_something_i_want_to_offer","Description about something I want to offer",""
"lang_details","Details",""
"lang_display_my_contact_details_on_my_listing","Display my contact details on my listing?",""
"lang_display_name","Display name",""
"lang_distance","Distance",""
"lang_do_you_want_to_continue","Do you want to continue?",""
"lang_email","Email",""
"lang_email_address","Email Address",""
"lang_email_already_in_use_please_try_a_different_email","Email already in use. Please try a different email.",""
"lang_enter_the_barter_details","Enter the barter details",""
"lang_enter_your_auth_code","Enter Your Auth Code",""
"lang_enter_your_password","Enter your password",""
"lang_error","Error",""
"lang_favourites","Favourites",""
"lang_filtering_a_total_of","filtering a total of",""
"lang_first","First",""
"lang_forgot_password","Forgot Password?",""
"lang_free","Free",""
"lang_goal_named","goal named",""
